Country Name,Life exp,GDPPC,Export,Import,Fertility,ChildMortality,Inflation
Afghanistan,61.98,368.75,1880000000,5570000000,4.643,55.7,4.257462043
Albania,76.46,6492.87,5590528224,8016544326,1.39,9.5,2.041471631
Algeria,76.38,3690.63,43343767862,43020958891,2.889,22.3,7.226063074
American Samoa,73.75,15743.31,334000000,724000000,,,0
Andorra,83,42137.33,,,,2.8,0
Angola,61.64,1953.53,29843731085,10917707594,5.304,69.4,25.75426565
Antigua and Barbuda,78.5,15781.4,,,1.58,6.1,2.062996385
Argentina,75.39,10636.12,87867694033,72817358028,1.885,6.9,48.41
Armenia,72.04,4966.51,4898064990,6075564643,1.575,10.7,7.184836294
Aruba,74.63,29342.1,2154231633,2133552215,1.18,12.698,2.31
Australia,83.3,60443.11,3.43E+11,2.76E+11,1.7,3.7,2.863910422
Austria,81.24,53637.71,2.69E+11,2.66E+11,1.48,3.7,2.766666667
Azerbaijan,69.37,5388,25487647059,16336941176,1.52,18.6,6.650299127
"Bahamas, The",71.6,27478.39,3081800000,4722500000,1.389,13.2,2.904912629
Bahrain,78.76,26562.97,13180000000,4.10E+11,1.811,6.9,-0.606319385
Bangladesh,72.38,2457.92,44385410501,71019901847,1.981,27.3,5.545654308
Barbados,77.57,17225.46,1471300000,1960350000,1.633,11.9,3.06
Belarus,72.37,7302.26,49183440343,45443731043,1.483,2.7,9.460283896
Belgium,81.89,51247.01,5.16E+11,5.10E+11,1.6,4.1,2.440248511
Belize,70.47,6228.27,1158000000,1248500000,2.01,11.2,3.235636592
Benin,59.82,1319.15,4878137303,5878287109,4.973,83.5,1.733539627
Bermuda,79.28,114090.33,3549714000,1713731000,1.3,,0
Bhutan,71.82,3266.36,808222826,1339263829,1.413,26.7,7.346814405
Bolivia,63.63,3345.2,11243140348,12605111072,2.618,24.7,0.737383721
Bosnia and Herzegovina,75.3,7143.31,9968951379,12750109458,1.35,5.6,1.981639006
Botswana,61.14,6805.22,7858650140,8783714114,2.791,34.9,7.240977656
Brazil,72.75,7507.16,3.23E+11,3.07E+11,1.641,14.4,8.301659756
British Virgin Islands,74.49,75.85,,,1.005,10.5,0
Brunei Darussalam,74.64,31449.08,11228914277,9377986860,1.778,11.5,1.733413885
Bulgaria,71.51,12221.5,51548528238,50137823800,1.58,6.3,3.297744353
Burkina Faso,59.27,893.08,9040000000,5848000000,4.772,82.6,3.653532872
Burundi,61.66,221.48,138998735.9,662106262.1,5.078,52.6,8.404538451
Cabo Verde,74.05,3293.23,476614904.2,1123172278,1.896,13.5,1.862152975
Cambodia,69.58,1625.24,17417509553,18228762399,2.344,24.8,2.920734776
Cameroon,60.33,1666.93,7575052202,9231793659,4.463,69.8,2.271857625
Canada,82.6,51987.94,6.11E+11,6.09E+11,1.43,5,3.395193185
Cayman Islands,,86568.77,,,,,0
Central African Republic,53.9,461.14,357002527.9,767508074.5,5.978,99.9,4.259364175
Chad,52.53,685.69,4564757551,5210833232,6.255,107.1,-0.77284437
Chile,78.94,16265.1,1.01E+11,1.03E+11,1.537,6.6,4.524568383
China,78.21,12556.33,3.55E+12,3.09E+12,1.164,6.9,0.981015136
Colombia,72.83,6104.14,51599165400,76863163971,1.717,12.8,3.495057574
Comoros,63.42,1577.47,140072575,407884683.9,3.978,49.7,13.02
"Congo, Dem. Rep.",59.19,577.21,22353947839,22193237569,6.156,79,3
"Congo, Rep.",63.52,2290.38,7813576417,4966529355,4.171,43,1.715642755
Costa Rica,77.02,12472.44,23226248401,22161096139,1.533,7.6,1.726477551
Cote d'Ivoire,58.6,2549.04,16083020558,15941291126,4.418,74.8,4.091951897
Croatia,76.42,17685.33,35358791830,36372788194,1.62,4.6,2.554506996
Cuba,73.68,9499.59,1090000000,3450000000,1.442,5,2.7
Curacao,78.94,17717.6,326000000,1050000000,1.383908046,7.941,3.8
Cyprus,81.2,31551.82,24606031934,23776108811,1.321,2.8,2.446088672
Czechia,77.37,26821.25,2.05E+11,1.97E+11,1.83,2.8,3.839844915
Denmark,81.4,68007.76,2.38E+11,2.09E+11,1.72,3.6,1.85304544
Djibouti,62.31,3150.44,330000000,8270000000,2.804,54.1,-0.73
Dominica,72.81,7653.17,30900000,646000000,1.595,35.9,8.8
Dominican Republic,72.62,8476.75,20500497766,29198662389,2.273,33,8.24300348
"Egypt, Arab Rep.",70.22,3698.83,44850223072,81943913321,2.917,19,5.214049405
El Salvador,70.75,4551.18,8490950000,15753950000,1.803,12.4,3.466925853
Equatorial Guinea,60.59,7506.67,6806230926,5716807023,4.266,76.8,4.77
Eritrea,66.54,643.79,620000000,329000000,3.867,38.1,6.2
Estonia,76.74,27943.7,29119437815,29255091032,1.61,2,4.653166738
Eswatini,57.07,3978.4,2137038523,2177895951,2.839,52.6,3.72
Ethiopia,64.98,925.08,8448635570,18540745791,4.159,46.8,26.83952216
Faroe Islands,83.5,69010.31,1923048782,1905568545,2.293,,1.52
Fiji,67.11,4646.61,1173174617,2344789749,2.475,27.7,0.155855722
Finland,81.93,53654.75,1.17E+11,1.17E+11,1.46,2.2,2.194574323
France,82.32,43658.98,8.71E+11,9.29E+11,1.83,4.4,1.64233141
French Polynesia,79.49,19914.6,,,1.699,,0
